"sno","name","phone","email","course"
1,"Praveen",8735492051,"praveen45@gmail.com","React JS"
2,"Ajay",9398653065,"ajaybs@gmail.com","Artificial Intelligence"
3,"Madhuri",6300846290,"msmadhuri@gmail.com","Data structures"
4,"Rohith",7780586887,"rohithreddyparipelly@gmail.com","Web Development"
5,"Nikitha",7340643295,"niks563@gmail.com","Angular JS"
6,"Sneha",9000381840,"snehareddy@gmail.com","Java"
7,"Sam",6453109846,"sam6569@gmail.com","Digital Marketing"
8,"Ramya",9898757543,"ramya43@gmail.com","Python"
9,"Bhargavi",9965694301,"bhargavi90@gmail.com","Full stack development"
10,"Mahesh",9658318070,"maheshreddy@gmail.com","Cyber Security"
